STATE,DISTRICT,STATION,LATITUDE,LONGITUDE,STATION_TYPE,MAY (Level m),AUG (Level m),YEAR,geometry
HARYANA,SIRSA,Berwalakhurd,29.452777780178533,74.56805555961374,Manual,2.55,2.4,1996,POINT (74.56805555961374 29.45277778017853)
HARYANA,MEWAT,Pipaka-Shashola,28.22638888973083,77.02916667022727,Manual,,,1996,POINT (77.02916667022727 28.22638888973083)
HARYANA,FARIDABAD,Manjhawali-DW,28.369444440023198,77.47749999952136,Manual,,,1996,POINT (77.47749999952136 28.3694444400232)
HARYANA,PALWAL,Achheja,28.04583333001387,77.46666666994655,Manual,,,1996,POINT (77.46666666994655 28.04583333001387)
HARYANA,FATEHABAD,Khajuri Jatti-Pz,29.47555555999672,75.61111111023902,Manual,,,1996,POINT (75.61111111023902 29.47555555999672)
HARYANA,KURUKSHETRA,Kaulapur S,30.025000000280446,76.895833330141,Manual,,,1996,POINT (76.895833330141 30.02500000028045)
HARYANA,KURUKSHETRA,Khanpur Jattan M -Pz,30.12500000002048,76.86083333003714,Manual,,,1996,POINT (76.86083333003714 30.12500000002048)
HARYANA,BHIWANI,Runhat-DW,29.000555559904925,75.93888889046148,Manual,,,1996,POINT (75.93888889046148 29.00055555990492)
HARYANA,MEWAT,Bhadas-DW,27.94166666959188,77.0166666703182,Manual,,,1996,POINT (77.0166666703182 27.94166666959188)
HARYANA,MEWAT,Kheri1,27.97777777973659,77.01250000023035,Manual,,,1996,POINT (77.01250000023035 27.97777777973659)
HARYANA,GURGAON,Kherlilala,28.30000000036541,77.17083333020308,Manual,6.87,5.76,1996,POINT (77.17083333020308 28.30000000036541)
HARYANA,KARNAL,Nisang-Pz,29.694444439687988,76.7541666697699,Manual,,,1996,POINT (76.7541666697699 29.69444443968799)
HARYANA,MEWAT,Rangla Dhani-Pz,28.227777779852747,76.87083332996491,Manual,,,1996,POINT (76.87083332996491 28.22777777985275)
HARYANA,GURGAON,Gudhana-Pz,28.35277778023273,76.68888888958139,Manual,,,1996,POINT (76.68888888958139 28.35277778023273)
HARYANA,KAITHAL,Nangla-Pz-S,29.617222219718084,75.8913888900657,Manual,,,1996,POINT (75.8913888900657 29.61722221971808)
HARYANA,BHIWANI,Baundkalan,28.780555560439602,76.36666667012837,Manual,3.54,3.41,1996,POINT (76.36666667012837 28.7805555604396)
HARYANA,KAITHAL,Nangla-Pz-D,29.617222219718084,75.8913888900657,Manual,,,1996,POINT (75.8913888900657 29.61722221971808)
HARYANA,KURUKSHETRA,Malikpur S,30.045833330012478,76.63333332989001,Manual,17.42,,1996,POINT (76.63333332989001 30.04583333001248)
HARYANA,KURUKSHETRA,Busthala-PZ,30.076111109712766,76.72166666972258,Manual,,,1996,POINT (76.72166666972258 30.07611110971277)
HARYANA,BHIWANI,Gurera,28.919444439912038,75.51583333033365,Manual,17.62,17.34,1996,POINT (75.51583333033365 28.91944443991204)
HARYANA,KAITHAL,Samain,29.61944444005702,75.9375000000977,Manual,2.52,2.69,1996,POINT (75.9375000000977 29.61944444005702)
HARYANA,PANIPAT,Patti Kalyana M,29.209722219814747,77.02777777967859,Manual,11.85,12.9,1996,POINT (77.02777777967859 29.20972221981475)
HARYANA,KURUKSHETRA,Bodhni (m),30.054166669606317,76.55833333035349,Manual,,,1996,POINT (76.55833333035349 30.05416666960632)
HARYANA,KAITHAL,Kaithal S,29.799999999963504,76.40000000028797,Manual,7.42,6.22,1996,POINT (76.40000000028797 29.7999999999635)
HARYANA,JHAJJAR,Kutubgarh Pz,28.811111110256718,76.94999999960345,Manual,7.31,6.35,1996,POINT (76.94999999960345 28.81111111025672)
HARYANA,MEWAT,Firozepur Jhirka,27.791666669610766,76.94999999951958,Manual,,,1996,POINT (76.94999999951958 27.79166666961077)
HARYANA,YAMUNANAGAR,Shahabpura-Pz,30.126944440210966,77.11500000046955,Manual,,,1996,POINT (77.11500000046955 30.12694444021097)
HARYANA,KURUKSHETRA,Barshami-PZ,30.011111110270964,77.10694444044995,Manual,,,1996,POINT (77.10694444044995 30.01111111027096)
HARYANA,REWARI,Karoli-DW,28.385555559909807,76.33888889050715,Manual,,,1996,POINT (76.33888889050715 28.38555555990981)
HARYANA,KARNAL,Paccakhera,29.602777780368857,76.78888889041872,Manual,,,1996,POINT (76.78888889041872 29.60277778036886)
HARYANA,FATEHABAD,Bhodiakhera,29.487500000062237,75.42083333016922,Manual,10.44,10.34,1996,POINT (75.42083333016922 29.48750000006224)
HARYANA,AMBALA,Binjal Pur-DW,30.306666669780753,77.13333332992333,Manual,,,1996,POINT (77.13333332992333 30.30666666978075)
HARYANA,PALWAL,Rasulpur2,28.091666670070406,77.4041666698859,Manual,,,1996,POINT (77.4041666698859 28.09166667007041)
HARYANA,JIND,Ghaso,29.522222220182748,76.15277777974313,Manual,6.97,6.94,1996,POINT (76.15277777974313 29.52222222018275)
HARYANA,REWARI,Sangwari,28.162499999782646,76.66805556048662,Manual,14.92,,1996,POINT (76.66805556048662 28.16249999978265)
HARYANA,KURUKSHETRA,Yara-PZ,30.141666670275264,76.95138888969367,Manual,,,1996,POINT (76.95138888969367 30.14166667027526)
HARYANA,MEWAT,Khori Kalan,28.21527778030871,76.88277777999721,Manual,,,1996,POINT (76.88277777999721 28.21527778030871)
HARYANA,YAMUNANAGAR,Shahabpura-Ppz,30.130833330174088,77.11277778028672,Manual,,,1996,POINT (77.11277778028672 30.13083333017409)
HARYANA,HISAR,Barwala1,29.370833330109587,75.9208333304703,Manual,11.26,11.16,1996,POINT (75.9208333304703 29.37083333010959)
HARYANA,KARNAL,KheriNaru-Pz-M,29.648611109829158,76.91361110983453,Manual,,,1996,POINT (76.91361110983453 29.64861110982916)
HARYANA,MAHENDRAGARH,Pachnota-DW,27.89333333020617,76.00499999961492,Manual,,,1996,POINT (76.00499999961492 27.89333333020617)
HARYANA,ROHTAK,Kalanaur2,28.8222222196922,76.39722222012341,Manual,3.84,2.23,1996,POINT (76.39722222012341 28.8222222196922)
HARYANA,JHAJJAR,Hasanpur,28.541666670166503,76.6125000000866,Manual,,5.3,1996,POINT (76.6125000000866 28.5416666701665)
HARYANA,SIRSA,Sainpal-Pz,29.611111109621753,74.68333333016602,Manual,,,1996,POINT (74.68333333016602 29.61111110962175)
HARYANA,BHIWANI,Miran,28.848611110090793,75.74166667016848,Manual,6.4,5.98,1996,POINT (75.74166667016848 28.84861111009079)
HARYANA,SIRSA,Kalanwali Mandi-Pz,29.83888889034492,74.98888888949179,Manual,,,1996,POINT (74.98888888949179 29.83888889034492)
