STATE,DISTRICT,STATION,LATITUDE,LONGITUDE,STATION_TYPE,JAN (Level m),FEB (Level m),MAR (Level m),APR (Level m),MAY (Level m),JUN (Level m),JUL (Level m),AUG (Level m),SEP (Level m),OCT (Level m),NOV (Level m),DEC (Level m),YEAR
PUNJAB,LUDHIANA,Mudian Kalan,30.8875000003173,75.9249999994783,Manual,,,,,,,,,,,,,2018
PUNJAB,PATIALA,SAGAR PARA DRAIN MEETING WITH RIVER GHAGGAR NEAR VILL SAGAR PARA PATRAN,29.955067000255163,76.05500999973661,MANUAL,,,,,,,,,,,,,2018
PUNJAB,AMRITSAR,Attari,31.59722221971375,74.61250000017633,Manual,,,,,,,,,,,,,2018
PUNJAB,LUDHIANA,Jagraon 2(s),30.774999999932668,75.47083333022549,Manual,,,,16.54,16.54,,,,,84,,23.04,2018
PUNJAB,GURDASPUR,PATHANKOT;PATHANKOT;N. JAIMAL SINGH ;N. JAIMAL SINGH ;O/O BDPO,32.30555556006241,75.45972221970726,MANUAL,,,,,,,,,,,,,2018
PUNJAB,BATHINDA,Bathinda;Bathinda;Bathinda;Bathinda;O/O BDPO,30.200555559581343,74.94333332956089,MANUAL,,,,,,,,,,,,,2018
PUNJAB,PATIALA,Haluka,30.559722219801042,76.65972221958783,Manual,,,,,,,,,,9.9,,,2018
PUNJAB,JALANDHAR,JALANDHAR;Jalandhar - I;JALLANDHAR-WEST;NANGALSHAMA;Vet. Hospital,31.32611111113993,75.64250000011582,TELEMETRIC,,,,,,,,,,,,,2018
PUNJAB,MANSA,MANSA;MANSA;BHIKHI;PHAPHRE BHAIKE;Vet. Hospital,29.989166666859433,75.50749999998867,TELEMETRIC,,,,,,,,,,,,,2018
PUNJAB,GURDASPUR,Saleh Chak,32.04999999969351,75.18333332975219,Manual,,,,4.5,4.5,,,4.98,,4.17,,3.57,2018
PUNJAB,LUDHIANA,TSSM SR SEC SCHOOL SHIMLAPURI LUDHIANA,30.86502400017727,75.86599600027552,MANUAL,,,,,,,,,,,,,2018
PUNJAB,BATHINDA,Bandi-Pz,30.053055560120445,74.75777778000007,Manual,,,,,6.99,,,,,6.92,,,2018
PUNJAB,HOSHIARPUR,HOSHIARPUR;MUKERIAN;TALWARA;BORING;Govt. Elem. School,31.86361111147337,75.88472222229916,TELEMETRIC,,,,,,,,,,,,,2018
PUNJAB,LUDHIANA,Udonwal-Pz,30.96388888959512,76.16249999961276,Manual,,,,,5.25,,,,,4.5,,4.6,2018
